地区,离婚率,人均可支配收入
北京,3.43,62361.22
天津,4.11,39506.15
河北,3.11,23445.65
山西,2.36,21990.14
内蒙古,3.9,28375.65
辽宁,3.95,29701.45
吉林,4.75,22798.37
黑龙江,5.12,22725.85
上海,2.44,64182.65
江苏,3.54,38095.79
浙江,2.71,45839.84
安徽,3.88,23983.58
福建,2.72,32643.93
江西,2.7,24079.68
山东,2.74,29204.61
河南,3.4,21963.54
湖北,3.4,25814.54
湖南,3.1,25240.75
广东,2.03,35809.9
广西,2.62,21485.03
海南,2.1,24579.04
重庆,4.96,26385.84
四川,3.76,22460.55
贵州,4.22,18430.18
云南,2.77,20084.19
西藏,1.37,17286.06
陕西,3.34,22528.26
甘肃,2.2,17488.39
青海,2.85,20757.26
宁夏,3.33,22400.42
新疆,2.41,21500.24
北京,3.71,57229.83
天津,3.78,37022.33
河北,3.1,21484.13
山西,2.23,20420.01
内蒙古,4,26212.23
辽宁,3.81,27835.44
吉林,4.9,21368.32
黑龙江,5.19,21205.79
上海,2.43,58987.96
江苏,3.59,35024.09
浙江,2.8,42045.69
安徽,3.89,21863.3
福建,2.72,30047.75
江西,2.41,22031.45
山东,2.73,26929.94
河南,3.32,20170.03
湖北,3.38,23757.17
湖南,3.03,23102.71
广东,1.99,33003.29
广西,2.47,19904.76
海南,1.93,22553.24
重庆,4.93,24152.99
四川,3.76,20579.82
贵州,3.77,16703.65
云南,2.66,18348.34
西藏,1.2,15457.3
陕西,2.84,20635.21
甘肃,2.07,16011
青海,2.76,19001.02
宁夏,3.27,20561.66
新疆,3.07,19975.1
北京,4.89,52530.38
天津,4.24,34074.46
河北,2.96,19725.42
山西,2.09,19048.88
内蒙古,3.92,24126.64
辽宁,3.65,26039.7
吉林,4.71,19966.99
黑龙江,4.91,19838.5
上海,3.41,54305.35
江苏,3.27,32070.1
浙江,2.65,38529
安徽,3.54,19998.1
福建,2.51,27607.93
江西,2.24,20109.56
山东,2.58,24685.27
河南,2.93,18443.08
湖北,3.13,21786.64
湖南,2.85,21114.79
广东,1.95,30295.8
广西,2.35,18305.08
海南,1.83,20653.44
重庆,4.6,22034.14
四川,3.61,18808.26
贵州,3.43,15121.15
云南,2.52,16719.9
西藏,1.08,13639.24
陕西,2.67,18873.74
甘肃,1.94,14670.31
青海,2.58,17301.76
宁夏,2.92,18832.28
新疆,3.98,18354.65
北京,3.79,48457.99
天津,3.36,31291.36
河北,2.68,18118.09
山西,1.97,17853.67
内蒙古,3.66,22310.09
辽宁,3.48,24575.58
吉林,4.63,18683.7
黑龙江,4.98,18592.65
上海,2.76,49867.17
江苏,2.87,29538.85
浙江,2.52,35537.09
安徽,2.95,18362.57
福建,2.33,25404.36
江西,2.08,18437.11
山东,2.45,22703.19
河南,2.66,17124.75
湖北,2.85,20025.56
湖南,2.67,19317.49
广东,1.78,27858.86
广西,2.18,16873.42
海南,1.66,18978.97
重庆,4.55,20110.11
四川,3.49,17220.96
贵州,3.07,13696.61
云南,2.3,15222.57
西藏,0.73,12254.3
陕西,2.57,17394.98
甘肃,1.78,13466.59
青海,2.17,15812.7
宁夏,2.64,17329.09
新疆,4.31,16859.11
北京,3.08,44488.57
天津,2.98,28832.29
河北,2.52,16647.4
山西,1.8,16538.32
内蒙古,3.54,20559.34
辽宁,3.48,22820.15
吉林,4.44,17520.39
黑龙江,4.88,17404.39
上海,2.54,45965.83
江苏,2.75,27172.77
浙江,2.47,32657.57
安徽,2.82,16795.52
福建,2.3,23330.85
江西,1.97,16734.17
山东,2.4,20864.21
河南,2.45,15695.18
湖北,2.71,18283.23
湖南,2.62,17621.74
广东,1.67,25684.96
广西,2.13,15557.08
海南,1.57,17476.46
重庆,4.45,18351.9
四川,3.38,15749.01
贵州,2.73,12371.06
云南,2.14,13772.21
西藏,0.84,10730.22
陕西,2.26,15836.75
甘肃,1.63,12184.71
青海,2.16,14373.98
宁夏,2.4,15906.78
新疆,4.74,15096.62
北京,3.06,40830.04
天津,3.07,26359.2
河北,2.44,15189.64
山西,1.68,15119.72
内蒙古,3.23,18692.89
辽宁,3.47,20817.84
吉林,4.51,15998.12
黑龙江,4.65,15903.45
上海,2.88,42173.64
江苏,2.73,24775.54
浙江,2.41,29774.99
安徽,2.59,15154.31
福建,2.19,21217.95
江西,1.9,15099.68
山东,2.31,19008.26
河南,2.23,14203.71
湖北,2.6,16472.46
湖南,2.5,16004.9
广东,1.66,23420.75
广西,1.97,14082.3
海南,1.47,15733.28
重庆,4.5,16568.67
四川,3.31,14230.99
贵州,2.45,11083.06
云南,1.95,12577.87
西藏,0.57,9740.43
陕西,2.14,14371.55
甘肃,1.49,10954.4
青海,1.87,12947.84
宁夏,2.43,14565.78
新疆,4.82,13669.62
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
