地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年
北京,3.43,3.71,4.89,3.79,3.08,3.06,2.35,3.45,2.37
天津,4.11,3.78,4.24,3.36,2.98,3.07,2.57,3.24,2.37
河北,3.11,3.1,2.96,2.68,2.52,2.44,2.35,2.14,2.04
山西,2.36,2.23,2.09,1.97,1.8,1.68,1.46,1.37,1.23
内蒙古,3.9,4,3.92,3.66,3.54,3.23,2.83,2.72,2.31
辽宁,3.95,3.81,3.65,3.48,3.48,3.47,3.22,3.27,2.94
吉林,4.75,4.9,4.71,4.63,4.44,4.51,4.03,3.72,3.43
黑龙江,5.12,5.19,4.91,4.98,4.88,4.65,4.09,3.89,3.6
上海,2.44,2.43,3.41,2.76,2.54,2.88,2.22,3.39,2.08
江苏,3.54,3.59,3.27,2.87,2.75,2.73,2.29,2.23,2.04
浙江,2.71,2.8,2.65,2.52,2.47,2.41,2.24,2.43,2.09
安徽,3.88,3.89,3.54,2.95,2.82,2.59,2.23,1.75,1.82
福建,2.72,2.72,2.51,2.33,2.3,2.19,2,1.89,1.66
江西,2.7,2.41,2.24,2.08,1.97,1.9,1.68,1.49,1.46
山东,2.74,2.73,2.58,2.45,2.4,2.31,2.03,1.9,1.76
河南,3.4,3.32,2.93,2.66,2.45,2.23,1.7,1.28,1.42
湖北,3.4,3.38,3.13,2.85,2.71,2.6,2.35,2.03,2.03
湖南,3.1,3.03,2.85,2.67,2.62,2.5,2.34,2.09,2.13
广东,2.03,1.99,1.95,1.78,1.67,1.66,1.47,1.66,1.23
广西,2.62,2.47,2.35,2.18,2.13,1.97,1.83,1.45,1.54
海南,2.1,1.93,1.83,1.66,1.57,1.47,1.36,1.22,1.04
重庆,4.96,4.93,4.6,4.55,4.45,4.5,4.27,3.74,3.93
四川,3.76,3.76,3.61,3.49,3.38,3.31,3.11,2.57,2.72
贵州,4.22,3.77,3.43,3.07,2.73,2.45,2.33,1.72,1.82
云南,2.77,2.66,2.52,2.3,2.14,1.95,1.76,1.64,1.5
西藏,1.37,1.2,1.08,0.73,0.84,0.57,0.43,0.68,0.67
陕西,3.34,2.84,2.67,2.57,2.26,2.14,1.89,1.76,1.72
甘肃,2.2,2.07,1.94,1.78,1.63,1.49,1.28,1.13,1.09
青海,2.85,2.76,2.58,2.17,2.16,1.87,1.86,1.7,1.43
宁夏,3.33,3.27,2.92,2.64,2.4,2.43,2.32,2.08,1.91
新疆,2.41,3.07,3.98,4.31,4.74,4.82,4.62,4.81,4.51
