地区,离婚率,学历
北京,3.43,8121
天津,4.11,3458
河北,3.11,6427
山西,2.36,4445
内蒙古,3.9,3794
辽宁,3.95,5724
吉林,4.75,2881
黑龙江,5.12,4155
上海,2.44,5989
江苏,3.54,9281
浙江,2.71,7005
安徽,3.88,5867
福建,2.72,3965
江西,2.7,3490
山东,2.74,9700
河南,3.4,6766
湖北,3.4,7058
湖南,3.1,6179
广东,2.03,10672
广西,2.62,2596
海南,2.1,1174
重庆,4.96,3594
四川,3.76,8252
贵州,4.22,2488
云南,2.77,3635
西藏,1.37,203
陕西,3.34,5168
甘肃,2.2,2517
青海,2.85,652
宁夏,3.33,680
新疆,2.41,3166
北京,3.71,7967
天津,3.78,3503
河北,3.1,5736
山西,2.23,4272
内蒙古,4,3551
辽宁,3.81,5988
吉林,4.9,3164
黑龙江,5.19,4049
上海,2.43,6418
江苏,3.59,10739
浙江,2.8,6850
安徽,3.89,4515
福建,2.72,4418
江西,2.41,2954
山东,2.73,10084
河南,3.32,6290
湖北,3.38,7346
湖南,3.03,6188
广东,1.99,11892
广西,2.47,2806
海南,1.93,919
重庆,4.93,3235
四川,3.76,6886
贵州,3.77,2584
云南,2.66,3109
西藏,1.2,210
陕西,2.84,4502
甘肃,2.07,2801
青海,2.76,526
宁夏,3.27,819
新疆,3.07,3270
北京,4.89,7729
天津,4.24,3176
河北,2.96,5966
山西,2.09,3941
内蒙古,3.92,3640
辽宁,3.65,6331
吉林,4.71,3093
黑龙江,4.91,4159
上海,3.41,5791
江苏,3.27,10458
浙江,2.65,6705
安徽,3.54,4515
福建,2.51,3421
江西,2.24,3177
山东,2.58,9499
河南,2.93,5870
湖北,3.13,6406
湖南,2.85,6184
广东,1.95,11779
广西,2.35,2954
海南,1.83,685
重庆,4.6,3038
四川,3.61,5869
贵州,3.43,1905
云南,2.52,3210
西藏,1.08,132
陕西,2.67,3822
甘肃,1.94,2191
青海,2.58,444
宁夏,2.92,801
新疆,3.98,2483
北京,3.79,134106
天津,3.36,53240
河北,2.68,108825
山西,1.97,73661
内蒙古,3.66,59527
辽宁,3.48,110524
吉林,4.63,53934
黑龙江,4.98,76013
上海,2.76,102157
江苏,2.87,190987
浙江,2.52,118847
安徽,2.95,103688
福建,2.33,70991
江西,2.08,68863
山东,2.45,179857
河南,2.66,118304
湖北,2.85,126939
湖南,2.67,116158
广东,1.78,186951
广西,2.18,62166
海南,1.66,14006
重庆,4.55,55464
四川,3.49,131966
贵州,3.07,42372
云南,2.3,64678
西藏,0.73,3265
陕西,2.57,97441
甘肃,1.78,47227
青海,2.17,8799
宁夏,2.64,14533
新疆,4.31,47998
北京,3.08,6420
天津,2.98,2727
河北,2.52,4447
山西,1.8,2799
内蒙古,3.54,2126
辽宁,3.48,6013
吉林,4.44,2578
黑龙江,4.88,3744
上海,2.54,5156
江苏,2.75,8796
浙江,2.47,6510
安徽,2.82,4862
福建,2.3,3366
江西,1.97,2801
山东,2.4,7415
河南,2.45,7380
湖北,2.71,5107
湖南,2.62,4725
广东,1.67,7693
广西,2.13,2855
海南,1.57,555
重庆,4.45,2991
四川,3.38,5706
贵州,2.73,2763
云南,2.14,2454
西藏,0.84,61
陕西,2.26,3217
甘肃,1.63,2061
青海,2.16,567
宁夏,2.4,540
新疆,4.74,2263
北京,3.06,6859
天津,3.07,2670
河北,2.44,4307
山西,1.68,3013
内蒙古,3.23,1966
辽宁,3.47,6924
吉林,4.51,2509
黑龙江,4.65,3708
上海,2.88,4703
江苏,2.73,8462
浙江,2.41,7464
安徽,2.59,4186
福建,2.19,2554
江西,1.9,3228
山东,2.31,7445
河南,2.23,5757
湖北,2.6,5304
湖南,2.5,4343
广东,1.66,6665
广西,1.97,2732
海南,1.47,593
重庆,4.5,2162
四川,3.31,6597
贵州,2.45,2419
云南,1.95,2763
西藏,0.57,55
陕西,2.14,3463
甘肃,1.49,1788
青海,1.87,553
宁夏,2.43,559
新疆,4.82,2174
北京,2.35,6143
天津,2.57,2553
河北,2.35,3232
山西,1.46,2707
内蒙古,2.83,2364
辽宁,3.22,6519
吉林,4.03,1955
黑龙江,4.09,3093
上海,2.22,4392
江苏,2.29,8373
浙江,2.24,6473
安徽,2.23,4721
福建,2,2262
江西,1.68,2846
山东,2.03,7367
河南,1.7,4798
湖北,2.35,5514
湖南,2.34,3749
广东,1.47,8027
广西,1.83,2281
海南,1.36,694
重庆,4.27,2299
四川,3.11,6258
贵州,2.33,1749
云南,1.76,2438
西藏,0.43,99
陕西,1.89,3150
甘肃,1.28,1790
青海,1.86,423
宁夏,2.32,452
新疆,4.62,2272
北京,3.45,5597
天津,3.24,2313
河北,2.14,3045
山西,1.37,2347
内蒙古,2.72,2532
辽宁,3.27,4500
吉林,3.72,2031
黑龙江,3.89,2945
上海,3.39,4063
江苏,2.23,7651
浙江,2.43,5547
安徽,1.75,3218
福建,1.89,3583
江西,1.49,2536
山东,1.9,6885
河南,1.28,5612
湖北,2.03,5181
湖南,2.09,4114
广东,1.66,8852
广西,1.45,3172
海南,1.22,526
重庆,3.74,2696
四川,2.57,5338
贵州,1.72,2232
云南,1.64,2558
西藏,0.68,117
陕西,1.76,3050
甘肃,1.13,1816
青海,1.7,405
宁夏,2.08,452
新疆,4.81,2433
